Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
Tumut,operating,New South Wales,Hydro,1232,-35.9534920741923,148.369693358993
Tumut 3,retired,New South Wales,"Hydro,Pumps",3000,-35.6108171090502,148.29264351448998
Tungatinah,operating,Tasmania,Hydro,125,-42.2963963682648,146.45588138196
Uranquinty,operating,New South Wales,Gas (OCGT),664,-35.180225647620205,147.21565992714
Vales Point B,operating,New South Wales,Coal (Black),1320,-33.164639,151.5441155
Valley Aking,operating,Victoria,Gas (OCGT),300,-38.2526008522186,146.58890593343202
Veolia Ti Tree,operating,Queensland,Bioenergy (Biogas),2,-27.695551000000002,152.65031299999998
Victoria Big Battery,operating,Victoria,Battery (Discharging),360,-38.03827950146317,144.2910031846593
Victoria Mill,operating,Queensland,Bioenergy (Biomass),24,-18.650208,146.200866
Wagerup,operating,Western Australia,Gas (OCGT),418,-32.9043187,115.9204307
Walkaway,operating,Western Australia,Wind,89.1,-28.902492300000002,114.8927165
Wallgrove,operating,New South Wales,Battery (Discharging),50,-33.81747581892088,150.8272761693095
Wandoan Solar Farm,operating,Queensland,Solar (Utility),159,-26.263563967767258,149.7722434039925
Wandoan South,operating,Queensland,Battery (Discharging),150,-26.263986201894923,149.7728711343933
Warradarge,operating,Western Australia,Wind,180,-30.041742290803096,115.34601918477634
Waterloo,operating,South Australia,Wind,130,-33.991095267936004,138.915722795005
Wattle Point,operating,South Australia,Wind,91,-35.1154104383038,137.718672417968
Waubra,operating,Victoria,Wind,192,-37.3579790620375,143.592600206467
Wellington,operating,New South Wales,Solar (Utility),216,,
Wemen,operating,Victoria,Solar (Utility),97,-34.80259,142.543348
West Hills,operating,Western Australia,Wind,5,-30.8581035,115.4632611
West Illawarra Leagues Club,operating,New South Wales,Distillate,1,-34.451645,150.843037
West Kalgoorlie,operating,Western Australia,Distillate,64.5,-30.7804027,121.42151909999998
West Kiewa,operating,Victoria,Hydro,62,-36.759673693368605,147.18608214576798
West Nowra,operating,New South Wales,Bioenergy (Biogas),1,-34.882318,150.551075
West Wyalong,operating,New South Wales,Solar (Utility),105,-33.7956353638098,147.3145445846548
Western Suburbs League Club,operating,New South Wales,Distillate,1,-34.051072999999995,150.83275700000002
White Rock,operating,New South Wales,"Solar (Utility),Wind",197,,
Whitsunday,operating,Queensland,Solar (Utility),57,-20.537259,147.80475
Wilga Park,operating,New South Wales,Gas (Reciprocating),10,-30.314444,149.65276799999998
Wilga Park B,operating,New South Wales,Gas (Reciprocating),12,-30.314444,149.65276799999998
Willogoleche,operating,South Australia,Wind,119,-33.393569,138.84821000000002
Willoughby,operating,New South Wales,Distillate,3,-33.810858,151.196599
Windy Hill,operating,Queensland,Wind,12,-17.590398999999998,145.52968
Wingfield,operating,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Wingfield 2,operating,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Winton,operating,Victoria,Solar (Utility),85,-36.49969510417262,146.11455416505774
Wivenhoe,operating,Queensland,"Hydro,Pumps",570,-27.3722237672267,152.63236172623698
Wivenhoe,operating,Queensland,Hydro,5,-27.394592,152.609237
Wollert,operating,Victoria,Bioenergy (Biogas),7,-37.591792,145.043033
Wonthaggi,operating,Victoria,Wind,12,-38.605129999999996,145.546292
Woodlawn,operating,New South Wales,Bioenergy (Biogas),7,-35.05928,149.5749
Woodlawn,operating,New South Wales,Wind,48,-35.0816745987566,149.570510727867
Woolnorth,operating,Tasmania,Wind,140,-40.736374750198706,144.694820513736
Woolooga,operating,Queensland,Solar (Utility),222.5,-26.0845224,152.4412264
Woy Woy,operating,New South Wales,Bioenergy (Biogas),1,-33.506914,151.291606
Wyalong Solar Farm,operating,New South Wales,Solar (Utility),62.32,-33.80493895585568,147.29515548006776
Wyangala A,operating,New South Wales,Hydro,20,-33.980371000000005,148.947377
Wyangala B,operating,New South Wales,Hydro,4,-33.980371000000005,148.947377
Yallourn W,operating,Victoria,Coal (Brown),1480,-38.177596216851605,146.347508446364
Yaloak South,operating,Victoria,Wind,28,-37.716474,144.241947
Yambuk,operating,Victoria,Wind,30,-38.305278107624,142.018439165612
Yandin,operating,Western Australia,Wind,214,-30.680970908597665,115.69424934340425
Yarranlea,operating,Queensland,Solar (Utility),121,-27.7089394,151.5326965
Yarrawonga,operating,Victoria,Hydro,9,-36.009465999999996,145.99956799999998
Yarwun,operating,Queensland,Gas (CCGT),154,-23.8302003068757,151.149691648905
Yatpool,operating,Victoria,Solar (Utility),94,-34.38072973033968,142.2053402489219
Yawong,operating,Victoria,Wind,7.2,-36.471022,143.361722
Yendon,operating,Victoria,Wind,144,-37.630952,144.022463
